,,,,,,,,,,,,,,,,,
,"VTZ(f,p)",,,,,,,,,,,,,,,,
oh,-75.418952,-75.630866,-75.635861,-75.635823,-75.635777,-75.636158,-75.636110,-75.636333,-75.635671,,-75.636325,-75.636328,-75.636332,-75.636323,-75.636329,-75.636331,-75.636330
hf,-100.057672,-100.329919,-100.336150,,-100.336120,-100.336184,,-100.336424,-100.335914,,-100.336405,-100.336412,-100.336426,-100.336393,-100.336401,-100.336405,-100.336403
h2o,-76.056531,-76.320886,-76.328307,,-76.328203,-76.328392,,-76.328745,-76.327963,,-76.328732,-76.328737,-76.328747,-76.328709,-76.328725,-76.328730,-76.328728
ch,-38.281237,-38.405685,-38.408924,-38.408898,-38.408786,-38.409568,-38.409534,-38.409643,-38.408810,,-38.409641,-38.409642,-38.409641,-38.409657,-38.409657,-38.409657,-38.409658
ch2-trip,-38.937517,-39.071922,-39.075217,-39.075174,-39.075136,-39.075708,-39.075656,-39.075777,-39.075125,,-39.075774,-39.075775,-39.075776,-39.075783,-39.075783,-39.075784,-39.075784
ch3,-39.577210,-39.752324,-39.756889,-39.756872,-39.756792,-39.757365,-39.757333,-39.757470,-39.756726,,-39.757465,-39.757467,-39.757472,-39.757477,-39.757476,-39.757479,-39.757479
ch4,-40.213031,-40.426684,-40.432739,,-40.432645,-40.433143,,-40.433282,-40.432504,,-40.433268,-40.433273,-40.433285,-40.433290,-40.433285,-40.433291,-40.433291
cch,-76.177215,-76.451336,-76.466092,-76.467123,-76.465383,-76.467588,-76.467568,-76.468798,-76.465714,,-76.468713,-76.468704,-76.468708,-76.468734,-76.468798,-76.468835,missing
c2h2,-76.848675,-77.168701,-77.185059,,-77.184469,-77.185115,,-77.186311,-77.184240,,-77.186249,-77.186271,-77.186286,-77.186223,-77.186296,-77.186327,missing
nh3,-56.217142,-56.460614,-56.467995,,-56.467877,-56.468221,,-56.468512,-56.467657,,-56.468501,-56.468506,-56.468516,-56.468501,-56.468510,-56.468516,-56.468515
c2,-75.401449,-75.749509,-75.783002,,-75.779997,-75.780882,,-75.786080,-75.779244,,-75.785482,-75.785647,-75.785165,-75.784339,-75.784974,-75.784896,-75.784876
n2,-108.982944,-109.355326,-109.373905,,-109.373366,-109.373617,,-109.375430,-109.372950,,-109.375373,-109.375391,-109.375385,-109.375196,-109.375365,-109.375372,-109.375369
co,-112.779950,-113.138533,-113.155538,,-113.155331,-113.155673,,-113.156797,-113.155316,,-113.156505,-113.156608,-113.156746,-113.156652,-113.156643,-113.156719,missing
cn,-92.234684,-92.547223,-92.565704,-92.567489,-92.564651,-92.568056,-92.568048,-92.570420,-92.565797,,-92.569776,-92.569958,-92.569945,-92.569725,-92.569902,-92.569912,missing
no,-129.296353,-129.698352,-129.716834,-129.717052,-129.716513,-129.717160,-129.717073,-129.718703,-129.716398,,-129.718484,-129.718553,-129.718595,-129.718451,-129.718577,-129.718592,missing
o2,-149.675117,-150.111191,-150.129010,-150.128980,-150.128520,-150.128970,-150.128685,-150.130815,-150.128176,,-150.130777,-150.130786,-150.130765,-150.130608,-150.130793,-150.130786,missing
of,-174.192315,-174.653927,-174.670060,-174.670105,-174.669888,-174.671068,-174.671016,-174.672212,-174.670047,,-174.671829,-174.671944,-174.671990,-174.671911,-174.671958,-174.671977,missing
f2,-198.751914,-199.278095,-199.296107,,-199.295374,-199.296098,,-199.297684,-199.295041,,-199.297662,-199.297666,-199.297608,-199.297492,-199.297611,-199.297606,missing
ph3,-342.487131,-342.680269,-342.686668,,-342.686417,-342.687508,,-342.687753,-342.686390,,-342.687735,-342.687741,-342.687746,-342.687774,-342.687767,-342.687777,-342.687777
hs,-398.104884,-398.278849,-398.284832,-398.284826,-398.284602,-398.285630,-398.285595,-398.285833,-398.284536,,-398.285826,-398.285829,-398.285831,-398.285848,-398.285850,-398.285855,-398.285855
h2s,-398.712691,-398.923265,-398.930878,,-398.930594,-398.931562,,-398.931883,-398.930465,,-398.931873,-398.931877,-398.931882,-398.931901,-398.931903,-398.931912,-398.931912
hcl,-460.106578,-460.327152,-460.334661,,-460.334416,-460.335159,,-460.335452,-460.334212,,-460.335448,-460.335450,-460.335455,-460.335462,-460.335468,-460.335474,-460.335474
so,-472.402821,-472.791087,-472.809386,-472.809712,-472.808767,-472.809966,-472.809825,-472.811539,-472.808724,,-472.811354,-472.811430,-472.811470,-472.811339,-472.811420,-472.811467,missing
clo,-534.303297,-534.717153,-534.734119,-534.734115,-534.733511,-534.735234,-534.735190,-534.736433,-534.733424,,-534.736273,-534.736301,-534.736309,-534.736264,-534.736322,-534.736348,missing
clf,-558.900762,-559.363318,-559.379740,,-559.379256,-559.380212,,-559.381173,-559.379020,,-559.381077,-559.381111,-559.381141,-559.381093,-559.381118,-559.381148,missing
p2,-681.489139,-681.785425,-681.807209,,-681.805704,-681.807591,,-681.810102,-681.805789,,-681.809981,-681.810029,-681.809964,-681.809908,-681.810050,-681.810159,-681.810164
s2,-795.096437,-795.435897,-795.455012,-795.455167,-795.453999,-795.456035,-795.455834,-795.457541,-795.453833,,-795.457466,-795.457496,-795.457491,-795.457469,-795.457538,-795.457595,missing
cl2,-918.998709,-919.409125,-919.426459,,-919.425719,-919.427271,,-919.428251,-919.425317,,-919.428226,-919.428236,-919.428242,-919.428233,-919.428262,-919.428294,missing
