,,,,,,,,,,,,,,,,,,
Acronym:,"VDZ(d,s)",,,,,,,,,,,,,,,,,
atom,HF,CCSD,UHF-UCCSD(T),RHF-UCCSD(T),CCSD(T)Λ,UHF-UCCSDT,RHF-UCCSDT,CCSDT(Q),CCSDT-1b,CCSDT-3,CCSDTQ-3,CCSDT(Q)/A,CCSDT(Q)/B,CCSDT(Q)Λ,CCSDTQ,CCSDTQ(5),CCSDTQ(5)Λ,CCSDTQ5
clcn,-551.788567,-552.219956,-552.236702,,-552.236198,-552.236915,,-552.238927,-552.237560,-552.235575,-552.238302,-552.238839,-552.238873,-552.238856,-552.238640,-552.238842,-552.238850,missing
oclo,-608.957254,-609.485657,-609.505551,-609.505644,-609.504922,-609.506012,-609.505892,-609.509294,-609.507922,-609.505227,-609.508163,-609.508736,-609.508967,-609.509015,-609.508684,-609.508837,-609.508927,missing
cloo,-609.014983,-609.554663,-609.579123,-609.579069,-609.576921,-609.581647,-609.581609,-609.586524,-609.581117,-609.578317,-609.584895,-609.586299,-609.586325,-609.585767,-609.585663,-609.586119,-609.586121,missing
cl2o,-993.713427,-994.202631,-994.216302,,-994.215747,-994.216737,,-994.218645,-994.216713,-994.215294,-994.218194,-994.218607,-994.218619,-994.218572,-994.218449,-994.218586,-994.218588,missing
bn3pi,-78.996022,-79.196285,-79.205041,-79.205253,-79.204882,-79.206819,-79.206785,-79.207859,-79.206045,-79.205409,-79.207345,-79.207329,-79.207586,-79.207591,-79.207540,-79.207513,-79.207565,-79.207552
cf,-137.180054,-137.467898,-137.474982,-137.474987,-137.475165,-137.475654,-137.475635,-137.476260,-137.476098,-137.475365,-137.476054,-137.475988,-137.476094,-137.476188,-137.476179,-137.476089,-137.476167,-137.476161
ch2c,-76.765563,-77.015061,-77.023839,,-77.023530,-77.024767,,-77.025375,-77.024167,-77.023368,-77.025135,-77.025295,-77.025328,-77.025335,-77.025350,-77.025377,-77.025395,-77.025396
ch2ch,-77.387730,-77.636283,-77.644164,-77.644608,-77.643911,-77.645469,-77.645462,-77.646028,-77.644355,-77.643831,-77.645811,-77.645994,-77.646000,-77.645990,-77.645971,-77.646013,-77.646017,-77.646019
c2h4,-78.026043,-78.304634,-78.313117,,-78.312877,-78.313737,,-78.314310,-78.313320,-78.312527,-78.314125,-78.314297,-78.314302,-78.314295,-78.314258,-78.314314,-78.314315,-78.314316
ch2nh,-94.025965,-94.331104,-94.340470,,-94.340213,-94.340927,,-94.341800,-94.340762,-94.339830,-94.341554,-94.341772,-94.341782,-94.341770,-94.341703,-94.341781,-94.341781,-94.341781
hco,-113.255218,-113.555755,-113.565900,-113.565952,-113.566050,-113.566589,-113.566569,-113.567689,-113.567085,-113.565926,-113.567350,-113.567452,-113.567542,-113.567601,-113.567509,-113.567565,-113.567581,-113.567573
h2co,-113.869211,-114.187606,-114.196886,,-114.196834,-114.197351,,-114.198362,-114.197557,-114.196569,-114.198093,-114.198258,-114.198295,-114.198317,-114.198233,-114.198289,-114.198297,-114.198292
co2,-187.650611,-188.129626,-188.147692,,-188.147578,-188.147937,,-188.150027,-188.150384,-188.147872,-188.149312,-188.149535,-188.149731,-188.149934,-188.149705,-188.149661,-188.149804,-188.149771
hno,-129.792672,-130.147481,-130.158895,,-130.158598,-130.159210,,-130.160860,-130.159431,-130.158184,-130.160472,-130.160818,-130.160831,-130.160785,-130.160669,-130.160818,-130.160805,-130.160805
no2,-204.047789,-204.580301,-204.604107,-204.604260,-204.603654,-204.604685,-204.604579,-204.608126,-204.607926,-204.604301,-204.606939,-204.607467,-204.607736,-204.607869,-204.607531,-204.607711,-204.607829,-204.607786
n2o,-183.695396,-184.208931,-184.233097,,-184.232521,-184.232694,,-184.236335,-184.236496,-184.232764,-184.235051,-184.235594,-184.235879,-184.236079,-184.235637,-184.235736,-184.235958,-184.235927
o3,-224.266737,-224.876485,-224.909286,,-224.907025,-224.909408,,-224.916197,-224.913133,-224.907798,-224.913940,-224.915701,-224.915884,-224.915405,-224.914759,-224.915515,-224.915463,-224.915433
hoo,-150.176510,-150.533038,-150.541010,-150.540994,-150.540989,-150.541713,-150.541686,-150.543015,-150.541454,-150.540776,-150.542709,-150.542935,-150.542951,-150.542930,-150.542856,-150.542952,-150.542937,-150.542939
hooh,-150.762181,-151.149884,-151.157680,,-151.157443,-151.157939,,-151.159392,-151.157834,-151.157113,-151.159139,-151.159394,-151.159392,-151.159360,-151.159260,-151.159341,-151.159337,-151.159338
f2o,-273.463516,-274.055678,-274.071624,,-274.071103,-274.072185,,-274.074834,-274.072476,-274.070936,-274.074250,-274.074711,-274.074767,-274.074695,-274.074516,-274.074684,-274.074688,-274.074681
hocl,-534.861552,-535.202747,-535.209824,,-535.209589,-535.210164,,-535.211256,-535.209979,-535.209336,-535.211058,-535.211249,-535.211251,-535.211229,-535.211183,-535.211240,-535.211240,-535.211241
ssh,-795.628352,-795.895971,-795.903732,-795.903738,-795.903442,-795.904652,-795.904635,-795.905347,-795.903917,-795.903266,-795.905136,-795.905301,-795.905314,-795.905304,-795.905328,-795.905363,-795.905372,-795.905375
b2,-49.085626,-49.256458,-49.270456,-49.270527,-49.268516,-49.272204,-49.272201,-49.273652,-49.269652,-49.268830,-49.272953,-49.273498,-49.273563,-49.273330,-49.273787,-49.273865,-49.273874,-49.273907
bh,-25.123440,-25.202539,-25.203801,,-25.203724,-25.204233,,-25.204278,-25.203752,-25.203715,-25.204261,-25.204278,-25.204278,-25.204276,-25.204292,-25.204292,-25.204292,-25.204292
bh3,-26.384459,-26.476239,-26.477478,,-26.477458,-26.477832,,-26.477860,-26.477485,-26.477438,-26.477848,-26.477859,-26.477859,-26.477859,-26.477864,-26.477864,-26.477865,-26.477865
bn,-78.888123,-79.177118,-79.205975,,-79.205061,-79.203312,,-79.207270,-79.211226,-79.204450,-79.204916,-79.203052,-79.204483,-79.206119,-79.205547,-79.205373,-79.205863,-79.205802
bf,-124.107532,-124.373461,-124.379419,,-124.379503,-124.379825,,-124.380415,-124.380282,-124.379655,-124.380257,-124.380234,-124.380303,-124.380375,-124.380365,-124.380286,-124.380355,-124.380351
nh,-54.961040,-55.077921,-55.079066,-55.079004,-55.079041,-55.079304,-55.079254,-55.079419,-55.079060,-55.079014,-55.079409,-55.079419,-55.079419,-55.079417,-55.079438,-55.079440,-55.079440,-55.079440
nh2,-55.554721,-55.704616,-55.706353,-55.706331,-55.706331,-55.706630,-55.706608,-55.706868,-55.706371,-55.706271,-55.706837,-55.706868,-55.706868,-55.706864,-55.706879,-55.706886,-55.706886,-55.706887
hcn,-92.878601,-93.167513,-93.179162,,-93.178843,-93.179357,,-93.180791,-93.179669,-93.178365,-93.180359,-93.180756,-93.180769,-93.180739,-93.180585,-93.180757,-93.180745,-93.180747
hof,-174.733134,-175.125438,-175.133664,,-175.133458,-175.133951,,-175.135382,-175.133906,-175.133144,-175.135144,-175.135380,-175.135379,-175.135338,-175.135260,-175.135345,-175.135338,-175.135339
alh,-242.452502,-242.516242,-242.517206,,-242.517149,-242.517600,,-242.517626,-242.517174,-242.517168,-242.517612,-242.517625,-242.517626,-242.517624,-242.517634,-242.517634,-242.517634,-242.517634
alh3,-243.626108,-243.698970,-243.700027,,-243.699997,-243.700485,,-243.700518,-243.700031,-243.700023,-243.700506,-243.700515,-243.700517,-243.700516,-243.700531,-243.700530,-243.700530,-243.700530
alf,-341.422850,-341.670945,-341.675195,,-341.675302,-341.675510,,-341.676082,-341.676004,-341.675531,-341.675952,-341.675903,-341.675979,-341.676040,-341.676020,-341.675941,-341.676010,-341.676007
alcl,-701.485199,-701.687372,-701.691938,,-701.691732,-701.692460,,-701.692909,-701.692122,-701.691760,-701.692796,-701.692844,-701.692873,-701.692880,-701.692901,-701.692876,-701.692906,-701.692905
sih,-289.427348,-289.507143,-289.508686,-289.508669,-289.508615,-289.509244,-289.509237,-289.509282,-289.508652,-289.508626,-289.509266,-289.509280,-289.509281,-289.509279,-289.509290,-289.509291,-289.509291,-289.509291
sih4,-291.234516,-291.344173,-291.346311,,-291.346260,-291.346965,,-291.347018,-291.346319,-291.346244,-291.346988,-291.347011,-291.347014,-291.347014,-291.347027,-291.347024,-291.347026,-291.347026
sio,-363.789774,-364.069090,-364.080835,,-364.081021,-364.081473,,-364.083207,-364.083722,-364.081889,-364.082551,-364.082203,-364.082634,-364.082970,-364.082825,-364.082567,-364.082851,-364.082816
sif,-388.358718,-388.622262,-388.627453,-388.627454,-388.627535,-388.627983,-388.627979,-388.628568,-388.628244,-388.627734,-388.628423,-388.628388,-388.628462,-388.628521,-388.628505,-388.628437,-388.628499,-388.628495
cs,-435.329495,-435.590311,-435.604674,,-435.604528,-435.605421,,-435.606484,-435.606380,-435.604409,-435.605906,-435.606059,-435.606224,-435.606396,-435.606372,-435.606389,-435.606467,-435.606454
h2,-1.124583,-1.148052,-1.148052,,-1.148052,-1.148052,,-1.148052,-1.148052,-1.148052,-1.148052,-1.148052,-1.148052,-1.148052,-1.148052,-1.148052,-1.148052,-1.148052
oh,-75.382514,-75.540069,-75.541262,-75.541233,-75.541248,-75.541414,-75.541388,-75.541684,-75.541269,-75.541203,-75.541659,-75.541684,-75.541684,-75.541681,-75.541698,-75.541702,-75.541702,-75.541703
hf,-100.002000,-100.202281,-100.203530,,-100.203545,-100.203600,,-100.204046,-100.203568,-100.203478,-100.204002,-100.204047,-100.204047,-100.204045,-100.204027,-100.204037,-100.204037,-100.204037
h2o,-76.003157,-76.201357,-76.203117,,-76.203103,-76.203246,,-76.203793,-76.203145,-76.203018,-76.203725,-76.203794,-76.203793,-76.203790,-76.203768,-76.203779,-76.203779,-76.203780
ch,-38.269647,-38.367565,-38.369141,-38.369122,-38.369083,-38.369625,-38.369608,-38.369684,-38.369129,-38.369067,-38.369671,-38.369684,-38.369684,-38.369682,-38.369697,-38.369699,-38.369699,-38.369699
ch2-trip,-38.919677,-39.020014,-39.021257,-39.021222,-39.021235,-39.021573,-39.021539,-39.021651,-39.021260,-39.021211,-39.021640,-39.021651,-39.021651,-39.021650,-39.021663,-39.021665,-39.021665,-39.021666
ch3,-39.553243,-39.682695,-39.684457,-39.684443,-39.684440,-39.684801,-39.684781,-39.684923,-39.684477,-39.684379,-39.684901,-39.684923,-39.684923,-39.684921,-39.684930,-39.684935,-39.684935,-39.684936
ch4,-40.185215,-40.342291,-40.344756,,-40.344772,-40.345109,,-40.345251,-40.344825,-40.344642,-40.345218,-40.345250,-40.345251,-40.345250,-40.345249,-40.345261,-40.345261,-40.345262
cch,-76.153429,-76.380394,-76.390010,-76.390948,-76.389610,-76.391693,-76.391701,-76.392676,-76.390170,-76.389633,-76.392301,-76.392666,-76.392643,-76.392637,-76.392626,-76.392730,-76.392736,-76.392749
c2h2,-76.817930,-77.080927,-77.091470,,-77.091145,-77.091859,,-77.092858,-77.091832,-77.090710,-77.092522,-77.092836,-77.092844,-77.092824,-77.092743,-77.092871,-77.092865,-77.092870
nh3,-56.176098,-56.359135,-56.361449,,-56.361459,-56.361680,,-56.362051,-56.361515,-56.361334,-56.361994,-56.362051,-56.362051,-56.362047,-56.362040,-56.362056,-56.362056,-56.362057
c2,-75.386817,-75.698940,-75.726478,,-75.723977,-75.725120,,-75.729395,-75.726904,-75.722423,-75.726777,-75.728977,-75.729090,-75.728613,-75.727710,-75.728452,-75.728248,-75.728220
n2,-108.953751,-109.263599,-109.275542,,-109.275248,-109.275613,,-109.277316,-109.276060,-109.274702,-109.276861,-109.277303,-109.277307,-109.277262,-109.277084,-109.277284,-109.277266,-109.277267
co,-112.748970,-113.043857,-113.054592,,-113.054728,-113.055051,,-113.056151,-113.055951,-113.054602,-113.055803,-113.055912,-113.055999,-113.056099,-113.056008,-113.056041,-113.056075,-113.056062
cn,-92.212892,-92.476680,-92.489073,-92.490606,-92.488500,-92.491606,-92.491623,-92.493630,-92.489445,-92.489144,-92.492556,-92.493193,-92.493330,-92.493308,-92.493043,-92.493273,-92.493231,-92.493231
no,-129.260132,-129.586906,-129.598013,-129.598205,-129.598031,-129.598641,-129.598581,-129.600140,-129.598935,-129.597796,-129.599732,-129.600005,-129.600052,-129.600047,-129.599915,-129.600071,-129.600053,-129.600050
o2,-149.627704,-149.976020,-149.985737,-149.985632,-149.985487,-149.985928,-149.985735,-149.987852,-149.986145,-149.985125,-149.987503,-149.987859,-149.987855,-149.987804,-149.987672,-149.987849,-149.987832,-149.987843
of,-174.134612,-174.489952,-174.498005,-174.498039,-174.498154,-174.499139,-174.499108,-174.500353,-174.498898,-174.498279,-174.499986,-174.500121,-174.500198,-174.500181,-174.500130,-174.500205,-174.500194,-174.500192
f2,-198.685577,-199.088479,-199.097524,,-199.097082,-199.097794,,-199.099495,-199.097588,-199.096834,-199.099214,-199.099504,-199.099500,-199.099420,-199.099336,-199.099417,-199.099409,-199.099411
ph3,-342.462619,-342.599002,-342.601863,,-342.601803,-342.602454,,-342.602573,-342.601883,-342.601727,-342.602533,-342.602564,-342.602567,-342.602566,-342.602589,-342.602592,-342.602593,-342.602594
hs,-398.083963,-398.209068,-398.210887,-398.210870,-398.210842,-398.211262,-398.211251,-398.211403,-398.210885,-398.210783,-398.211384,-398.211402,-398.211403,-398.211399,-398.211424,-398.211429,-398.211429,-398.211430
h2s,-398.684774,-398.834781,-398.837280,,-398.837235,-398.837671,,-398.837875,-398.837297,-398.837136,-398.837841,-398.837873,-398.837873,-398.837869,-398.837898,-398.837905,-398.837906,-398.837907
hcl,-460.081551,-460.236249,-460.238074,,-460.238038,-460.238287,,-460.238526,-460.238075,-460.237947,-460.238500,-460.238526,-460.238526,-460.238521,-460.238544,-460.238552,-460.238552,-460.238553
so,-472.348107,-472.652114,-472.661700,-472.661847,-472.661466,-472.662234,-472.662125,-472.663681,-472.662371,-472.661323,-472.663336,-472.663603,-472.663637,-472.663631,-472.663525,-472.663631,-472.663633,-472.663632
clo,-534.255760,-534.565460,-534.572925,-534.572919,-534.572770,-534.573758,-534.573735,-534.574697,-534.573218,-534.572649,-534.574436,-534.574635,-534.574648,-534.574627,-534.574614,-534.574682,-534.574675,-534.574678
clf,-558.844245,-559.186764,-559.193372,,-559.193228,-559.193726,,-559.194682,-559.193660,-559.193076,-559.194522,-559.194657,-559.194666,-559.194653,-559.194630,-559.194673,-559.194674,-559.194674
p2,-681.465358,-681.710202,-681.724435,,-681.723574,-681.724871,,-681.726681,-681.724993,-681.723296,-681.725988,-681.726603,-681.726636,-681.726573,-681.726559,-681.726726,-681.726749,-681.726759
s2,-795.060681,-795.320697,-795.330376,-795.330428,-795.329943,-795.331122,-795.331020,-795.332120,-795.330712,-795.329697,-795.331826,-795.332087,-795.332102,-795.332079,-795.332084,-795.332168,-795.332174,-795.332182
cl2,-918.960935,-919.256952,-919.263242,,-919.262993,-919.263683,,-919.264389,-919.263303,-919.262771,-919.264262,-919.264384,-919.264386,-919.264368,-919.264387,-919.264422,-919.264425,-919.264427
